epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.364,2.83111,2.08351,1.05229,0.31406,0.18376,0.14995,0.04772,3.18726,1.77497,1.04489,0.0670464,0.000332865,0.000332865
2,420.166,2.70715,1.79522,1.01657,0.43636,0.30661,0.29298,0.10237,2.56993,1.5602,0.97793,0.0340398,0.000659602,0.000659602
3,697.525,2.63921,1.72395,1.00538,0.46794,0.31112,0.31314,0.1111,2.50725,1.5486,0.95762,0.00102662,0.00097974,0.00097974
4,882.577,2.59942,1.70235,0.99613,0.46688,0.32078,0.3174,0.11111,2.50613,1.57365,0.95613,0.0009703,0.0009703,0.0009703
5,1059.48,2.5684,1.65444,0.9894,0.47565,0.31885,0.32464,0.1179,2.45928,1.51882,0.94679,0.0009604,0.0009604,0.0009604
6,1197.7,2.58062,1.64576,0.98893,0.51098,0.33682,0.35331,0.12667,2.43972,1.41356,0.95171,0.0009505,0.0009505,0.0009505
7,1297.98,2.52937,1.61705,0.98419,0.48757,0.33911,0.34303,0.1199,2.46367,1.4659,0.94569,0.0009406,0.0009406,0.0009406
8,1403.66,2.50194,1.57866,0.98496,0.4877,0.33267,0.33776,0.11825,2.45393,1.45729,0.94632,0.0009307,0.0009307,0.0009307
9,1529.55,2.47766,1.57267,0.9759,0.51085,0.34966,0.36018,0.13528,2.38574,1.42719,0.94142,0.0009208,0.0009208,0.0009208
10,1656.87,2.44885,1.54289,0.97083,0.52512,0.35128,0.36768,0.13507,2.37042,1.39014,0.93846,0.0009109,0.0009109,0.0009109
11,1758.92,2.45942,1.53753,0.96928,0.52641,0.35171,0.37263,0.1403,2.34172,1.37922,0.93099,0.000901,0.000901,0.000901
12,1858.45,2.42584,1.49862,0.96656,0.54123,0.36696,0.39217,0.14399,2.32944,1.3228,0.93502,0.0008911,0.0008911,0.0008911
13,1964.32,2.42601,1.49846,0.96348,0.54092,0.37018,0.39089,0.14487,2.31662,1.35738,0.92872,0.0008812,0.0008812,0.0008812
14,2068.5,2.40837,1.48668,0.96318,0.54646,0.36959,0.39376,0.14911,2.29823,1.33372,0.93023,0.0008713,0.0008713,0.0008713
15,2166.24,2.41024,1.48648,0.96075,0.54581,0.36839,0.39852,0.15353,2.28002,1.33583,0.92736,0.0008614,0.0008614,0.0008614
16,2365.39,2.38697,1.46045,0.95909,0.55239,0.37469,0.39927,0.14884,2.31704,1.33939,0.9274,0.0008515,0.0008515,0.0008515
17,2463.77,2.3904,1.45738,0.95878,0.56399,0.3749,0.40529,0.15336,2.26718,1.33784,0.92234,0.0008416,0.0008416,0.0008416
18,2578.1,2.38901,1.44737,0.95474,0.55379,0.38399,0.40805,0.15379,2.27095,1.2981,0.92551,0.0008317,0.0008317,0.0008317
19,2681.66,2.3599,1.43327,0.95513,0.56923,0.38642,0.41731,0.16153,2.24716,1.29265,0.9202,0.0008218,0.0008218,0.0008218
20,2780.79,2.35233,1.42643,0.95534,0.57072,0.36953,0.40494,0.15509,2.28797,1.28586,0.92479,0.0008119,0.0008119,0.0008119
21,2888.56,2.34166,1.41795,0.9554,0.58641,0.37426,0.41484,0.16095,2.23582,1.2834,0.91593,0.000802,0.000802,0.000802
22,2989.05,2.35093,1.42297,0.94748,0.57739,0.38342,0.41744,0.16078,2.24632,1.29786,0.92158,0.0007921,0.0007921,0.0007921
23,3090.15,2.3316,1.40062,0.94836,0.5811,0.39425,0.42971,0.16589,2.23814,1.27691,0.91757,0.0007822,0.0007822,0.0007822
24,3355.58,2.33374,1.4187,0.94991,0.56773,0.38507,0.4185,0.16078,2.23974,1.28796,0.92108,0.0007723,0.0007723,0.0007723
25,3464.69,2.3306,1.40311,0.94773,0.59365,0.38328,0.42412,0.1661,2.2109,1.25598,0.91549,0.0007624,0.0007624,0.0007624
26,3566.6,2.30308,1.39434,0.95075,0.56886,0.4002,0.43238,0.16854,2.20785,1.26221,0.91312,0.0007525,0.0007525,0.0007525
27,3666.71,2.32153,1.38792,0.94764,0.58773,0.39702,0.43508,0.16842,2.2046,1.25839,0.9153,0.0007426,0.0007426,0.0007426
